Designator,Mid X,Mid Y,Rotation,Layer
C1,31.623,-12.335,90.0,top
C2,34.544,-11.811,90.0,top
CN1,52.832,-8.509,0.0,top
CN2,76.2,-8.63,0.0,top
DC1,40.072,-10.541,270.0,top
LED1,10.0325,-20.0,180.0,top
LED10,70.0325,-40.0,180.0,top
LED11,90.0325,-40.0,180.0,top
LED12,110.0325,-40.0,180.0,top
LED13,10.0325,-60.0,180.0,top
LED14,30.0325,-60.0,180.0,top
LED15,50.0325,-60.0,180.0,top
LED16,70.0325,-60.0,180.0,top
LED17,90.0325,-60.0,180.0,top
LED18,110.0325,-60.0,180.0,top
LED19,10.0325,-80.0,180.0,top
LED2,30.0325,-20.0,180.0,top
LED20,30.0325,-80.0,180.0,top
LED21,50.0325,-80.0,180.0,top
LED22,70.0325,-80.0,180.0,top
LED23,90.0325,-80.0,180.0,top
LED24,110.0325,-80.0,180.0,top
LED25,10.0325,-100.0,180.0,top
LED26,30.0325,-100.0,180.0,top
LED27,50.0325,-100.0,180.0,top
LED28,70.0325,-100.0,180.0,top
LED29,90.0325,-100.0,180.0,top
LED3,50.0325,-20.0,180.0,top
LED30,110.0325,-100.0,180.0,top
LED31,10.0325,-120.0,180.0,top
LED32,30.0325,-120.0,180.0,top
LED33,50.0325,-120.0,180.0,top
LED34,70.0325,-120.0,180.0,top
LED35,90.0325,-120.0,180.0,top
LED36,110.0325,-120.0,180.0,top
LED4,70.0325,-20.0,180.0,top
LED5,90.0325,-20.0,180.0,top
LED6,110.0325,-20.0,180.0,top
LED7,10.0325,-40.0,180.0,top
LED8,30.0325,-40.0,180.0,top
LED9,50.0325,-40.0,180.0,top
Q1,84.201,-10.795,270.0,top
R1,67.564,-8.128,180.0,top
R10,6.4225,-40.0,0.0,top
R11,26.4225,-40.0,0.0,top
R12,46.4225,-40.0,0.0,top
R13,66.4225,-40.0,0.0,top
R14,86.4225,-40.0,0.0,top
R15,106.4225,-40.0,0.0,top
R16,6.4225,-60.0,0.0,top
R17,26.4225,-60.0,0.0,top
R18,46.4225,-60.0,0.0,top
R19,66.4225,-60.0,0.0,top
R2,84.074,-7.493,0.0,top
R20,86.4225,-60.0,0.0,top
R21,106.4225,-60.0,0.0,top
R22,6.4225,-80.0,0.0,top
R23,26.4225,-80.0,0.0,top
R24,46.4225,-80.0,0.0,top
R25,66.4225,-80.0,0.0,top
R26,86.4225,-80.0,0.0,top
R27,106.4225,-80.0,0.0,top
R28,6.4225,-100.0,0.0,top
R29,26.4225,-100.0,0.0,top
R3,83.931,-4.953,180.0,top
R30,46.4225,-100.0,0.0,top
R31,66.4225,-100.0,0.0,top
R32,86.4225,-100.0,0.0,top
R33,106.4225,-100.0,0.0,top
R34,6.4225,-120.0,0.0,top
R35,26.4225,-120.0,0.0,top
R36,46.4225,-120.0,0.0,top
R37,66.4225,-120.0,0.0,top
R38,86.4225,-120.0,0.0,top
R39,106.4225,-120.0,0.0,top
R4,6.4225,-20.0,0.0,top
R5,26.4225,-20.0,0.0,top
R6,46.4225,-20.0,0.0,top
R7,66.4225,-20.0,0.0,top
R8,86.4225,-20.0,0.0,top
R9,106.4225,-20.0,0.0,top
U1,61.976,-8.128,270.0,top
USB1,21.444,-13.194,180.0,top
